|     | task_0_variant   |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas | task_0_measured   | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_0_accuracy |   task_1_accuracy |
|  36 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  37 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  38 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  39 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              2 |              0 |                0.4  |               0.5 |               0.8 |
|  40 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  41 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  42 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  43 | yolo5n           |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  44 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  45 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  46 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  47 | yolo5n           |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  48 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  49 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  50 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  51 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  52 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               6.66667 |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  53 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  54 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  55 | yolo5n           |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.4  |               0.5 |               0.8 |
|  56 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              20       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  57 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  58 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  59 | yolo5n           |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  60 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  61 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |              10       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  62 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               6.66667 |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  63 | yolo5n           |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  64 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  65 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               6.66667 |              4 |              0 |                0.4  |               0.5 |               0.8 |
|  66 | yolo5n           |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               6.66667 |              4 |              0 |                0.4  |               0.5 |               0.8 |
