|     |   task_0_variant |   task_0_cpu |   task_0_gpu |   task_0_cpu_all_replicas |   task_0_gpu_all_replicas |   task_0_batch |   task_0_replicas |   task_0_latency |   task_0_throughput |   task_0_throughput_all_replicas |   task_0_measured | task_1_variant   |   task_1_cpu |   task_1_gpu |   task_1_cpu_all_replicas |   task_1_gpu_all_replicas |   task_1_batch |   task_1_replicas |   task_1_latency |   task_1_throughput |   task_1_throughput_all_replicas | task_1_measured   |   pipeline_latency |   pipeline_throughput |   pipeline_cpu |   pipeline_gpu |   pipeline_accuracy |   task_1_accuracy |
|  93 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               2.5     |              3 |              0 |                0.4  |               0.8 |
|  94 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               2.5     |              3 |              0 |                0.4  |               0.8 |
|  95 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               2.5     |              3 |              0 |                0.4  |               0.8 |
|  96 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.8 |
|  97 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.8 |
|  98 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
|  99 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              3 |              0 |                0.4  |               0.8 |
| 100 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |              10       |              3 |              0 |                0.4  |               0.8 |
| 101 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.8 |
| 102 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
| 103 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              3 |              0 |                0.4  |               0.8 |
| 104 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               6.66667 |              3 |              0 |                0.4  |               0.8 |
| 105 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.8 |
| 106 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
| 107 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              3 |              0 |                0.4  |               0.8 |
| 108 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               5       |              3 |              0 |                0.4  |               0.8 |
| 109 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               5       |              3 |              0 |                0.4  |               0.8 |
| 110 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               3.33333 |              3 |              0 |                0.4  |               0.8 |
| 111 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              3 |              0 |                0.4  |               0.8 |
| 112 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              20       |              4 |              0 |                0.4  |               0.8 |
| 113 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.8 |
| 114 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.8 |
| 115 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.8 |
| 116 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.8 |
| 117 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |              10       |              4 |              0 |                0.4  |               0.8 |
| 118 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               6.66667 |              4 |              0 |                0.4  |               0.8 |
| 119 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.8 |
| 120 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.8 |
| 121 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               6.66667 |              4 |              0 |                0.4  |               0.8 |
| 122 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               6.66667 |              4 |              0 |                0.4  |               0.8 |
| 123 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               5       |              4 |              0 |                0.4  |               0.8 |
| 124 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.8 |
| 125 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.8 |
| 126 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               5       |              4 |              0 |                0.4  |               0.8 |
| 127 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet34         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               5       |              4 |              0 |                0.4  |               0.8 |
| 128 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              3 |              0 |                0.4  |               0.5 |
| 129 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.5 |
| 130 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              3 |              0 |                0.4  |               0.5 |
| 131 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 132 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |               5       |              3 |              0 |                0.4  |               0.5 |
| 133 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              3 |              0 |                0.4  |               0.5 |
| 134 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              3 |              0 |                0.4  |               0.5 |
| 135 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 136 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               3.33333 |              3 |              0 |                0.4  |               0.5 |
| 137 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               3.33333 |              3 |              0 |                0.4  |               0.5 |
| 138 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              3 |              0 |                0.4  |               0.5 |
| 139 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 140 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 141 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 142 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 143 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              3 |              0 |                0.4  |               0.5 |
| 144 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              10       |              4 |              0 |                0.4  |               0.5 |
| 145 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              4 |              0 |                0.4  |               0.5 |
| 146 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              4 |              0 |                0.4  |               0.5 |
| 147 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              4 |              0 |                0.4  |               0.5 |
| 148 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |               5       |              4 |              0 |                0.4  |               0.5 |
| 149 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |               5       |              4 |              0 |                0.4  |               0.5 |
| 150 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               5       |              4 |              0 |                0.4  |               0.5 |
| 151 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              4 |              0 |                0.4  |               0.5 |
| 152 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               3.33333 |              4 |              0 |                0.4  |               0.5 |
| 153 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               3.33333 |              4 |              0 |                0.4  |               0.5 |
| 154 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               3.33333 |              4 |              0 |                0.4  |               0.5 |
| 155 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               3.33333 |              4 |              0 |                0.4  |               0.5 |
| 156 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               2.5     |              4 |              0 |                0.4  |               0.5 |
| 157 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               2.5     |              4 |              0 |                0.4  |               0.5 |
| 158 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               2.5     |              4 |              0 |                0.4  |               0.5 |
| 159 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.8 |               2.5     |              4 |              0 |                0.4  |               0.5 |
| 160 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.2 |              10       |              5 |              0 |                0.4  |               0.5 |
| 161 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.3 |               5       |              5 |              0 |                0.4  |               0.5 |
| 162 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.4 |               3.33333 |              5 |              0 |                0.4  |               0.5 |
| 163 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.5 |               2.5     |              5 |              0 |                0.4  |               0.5 |
| 164 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.3 |              10       |              5 |              0 |                0.4  |               0.5 |
| 165 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.4 |               5       |              5 |              0 |                0.4  |               0.5 |
| 166 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.5 |               3.33333 |              5 |              0 |                0.4  |               0.5 |
| 167 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.6 |               2.5     |              5 |              0 |                0.4  |               0.5 |
| 168 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.4 |               6.66667 |              5 |              0 |                0.4  |               0.5 |
| 169 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.5 |               5       |              5 |              0 |                0.4  |               0.5 |
| 170 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.6 |               3.33333 |              5 |              0 |                0.4  |               0.5 |
| 171 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.7 |               2.5     |              5 |              0 |                0.4  |               0.5 |
| 172 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              1 |                 1 |              0.1 |            10       |                         10       | True              |                0.5 |               5       |              5 |              0 |                0.4  |               0.5 |
| 173 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              2 |                 1 |              0.2 |             5       |                          5       | True              |                0.6 |               5       |              5 |              0 |                0.4  |               0.5 |
| 174 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              3 |                 1 |              0.3 |             3.33333 |                          3.33333 | False             |                0.7 |               3.33333 |              5 |              0 |                0.4  |               0.5 |
| 175 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         1 |                         0 |              4 |                 1 |              0.4 |             2.5     |                          2.5     | True              |                0.8 |               2.5     |              5 |              0 |                0.4  |               0.5 |
| 176 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.2 |              20       |              6 |              0 |                0.4  |               0.5 |
| 177 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.3 |              10       |              6 |              0 |                0.4  |               0.5 |
| 178 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.4 |               6.66667 |              6 |              0 |                0.4  |               0.5 |
| 179 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.5 |               5       |              6 |              0 |                0.4  |               0.5 |
| 180 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.3 |              10       |              6 |              0 |                0.4  |               0.5 |
| 181 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.4 |              10       |              6 |              0 |                0.4  |               0.5 |
| 182 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.5 |               6.66667 |              6 |              0 |                0.4  |               0.5 |
| 183 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.6 |               5       |              6 |              0 |                0.4  |               0.5 |
| 184 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.4 |               6.66667 |              6 |              0 |                0.4  |               0.5 |
| 185 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.5 |               6.66667 |              6 |              0 |                0.4  |               0.5 |
| 186 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.6 |               6.66667 |              6 |              0 |                0.4  |               0.5 |
| 187 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              4 |                 2 |              0.4 |             2.5     |                          5       | True              |                0.7 |               5       |              6 |              0 |                0.4  |               0.5 |
| 188 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              1 |                 2 |              0.1 |            10       |                         20       | True              |                0.5 |               5       |              6 |              0 |                0.4  |               0.5 |
| 189 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              2 |                 2 |              0.2 |             5       |                         10       | True              |                0.6 |               5       |              6 |              0 |                0.4  |               0.5 |
| 190 |              nan |          nan |          nan |                       nan |                       nan |            nan |               nan |              nan |                 nan |                              nan |               nan | resnet18         |            1 |            0 |                         2 |                         0 |              3 |                 2 |              0.3 |             3.33333 |                          6.66667 | False             |                0.7 |               5       |              6 |              0 |                0.4  |               0.5 |
