,index,model-name,model-version,batch-size,latency
397,25,xception,1,16,1.7571842670440674
398,26,xception,1,16,1.778245449066162
399,27,xception,1,16,1.7507307529449463
400,28,xception,1,16,1.8130428791046143
401,29,xception,1,16,1.7867870330810547
402,30,xception,1,16,1.7672820091247559
403,31,xception,1,16,1.7484996318817139
404,32,xception,1,16,1.7528698444366455
405,33,xception,1,16,1.825967788696289
406,34,xception,1,16,1.7891499996185303
407,35,xception,1,16,1.7636547088623047
408,36,xception,1,16,1.7536015510559082
409,37,xception,1,16,1.7618520259857178
410,38,xception,1,16,1.7664780616760254
411,39,xception,1,16,1.7577438354492188
412,40,xception,1,16,1.7615830898284912
413,41,xception,1,16,1.7510898113250732
414,42,xception,1,16,1.7758328914642334
415,43,xception,1,16,1.7440710067749023
416,44,xception,1,16,1.7489616870880127
417,45,xception,1,16,1.7458739280700684
418,46,xception,1,16,1.7699673175811768
419,47,xception,1,16,1.7592813968658447
420,48,xception,1,16,1.7396256923675537
421,49,xception,1,16,1.7397880554199219
422,50,xception,1,16,1.7352406978607178
423,51,xception,1,16,1.8377268314361572
424,52,xception,1,16,1.7822935581207275
425,53,xception,1,16,1.7537896633148193
426,54,xception,1,16,1.748408317565918
427,55,xception,1,16,1.743537187576294
428,56,xception,1,16,1.751025676727295
429,57,xception,1,16,1.755235195159912
430,58,xception,1,16,1.7496137619018555
431,59,xception,1,16,1.7534966468811035
432,60,xception,1,16,1.7412824630737305
433,61,xception,1,16,1.7401056289672852
434,62,xception,1,16,1.7745730876922607
435,63,xception,1,16,1.7792205810546875
436,64,xception,1,16,1.7898597717285156
437,65,xception,1,16,1.74761962890625
438,66,xception,1,16,1.7494912147521973
439,67,xception,1,16,1.7329692840576172
440,68,xception,1,16,1.7565157413482666
441,69,xception,1,16,1.8389227390289307
442,70,xception,1,16,1.7597277164459229
443,71,xception,1,16,1.759140968322754
444,72,xception,1,16,1.7627637386322021
445,73,xception,1,16,1.7590970993041992
446,74,xception,1,16,1.7785313129425049
447,75,xception,1,16,1.7614538669586182
448,76,xception,1,16,1.7444183826446533
449,77,xception,1,16,1.7543883323669434
450,78,xception,1,16,1.754723072052002
