client_to_pipeline_latencies,pipeline_to_client_latencies,task_0_model_latencies,task_0_to_task_1_latencies,task_1_model_latencies
0.2868683338165283,0.0066602230072021484,0.09899282455444336,0.018463850021362305,0.05568194389343262
0.5172719955444336,0.01098322868347168,0.09540319442749023,0.01390218734741211,0.05448770523071289
0.06451845169067383,0.013169288635253906,0.09488964080810547,0.047708988189697266,0.07400631904602051
0.47573328018188477,0.008004426956176758,0.09747886657714844,0.022378206253051758,0.0645449161529541
0.5161926746368408,0.009068489074707031,0.09226584434509277,0.02079939842224121,0.05874490737915039
0.4764587879180908,0.008173942565917969,0.09764337539672852,0.01793217658996582,0.05951976776123047
0.47780752182006836,0.009418487548828125,0.08063292503356934,0.01745152473449707,0.05615663528442383
0.2678077220916748,0.011122465133666992,0.08831000328063965,0.02252650260925293,0.05696511268615723
0.43044471740722656,0.007688999176025391,0.1045844554901123,0.019795656204223633,0.04511833190917969
0.14541149139404297,0.008939027786254883,0.08847975730895996,0.01607060432434082,0.0668191909790039
0.2719240188598633,0.009001731872558594,0.09942841529846191,0.019287586212158203,0.0605623722076416
0.3784489631652832,0.013061046600341797,0.09842896461486816,0.022525310516357422,0.0622711181640625
0.18397903442382812,0.010749340057373047,0.08868288993835449,0.029438018798828125,0.0733330249786377
0.5494329929351807,0.008227348327636719,0.09942030906677246,0.0207974910736084,0.044972896575927734
0.33392858505249023,0.01093745231628418,0.08879923820495605,0.017646074295043945,0.06056690216064453
0.1685492992401123,0.006163120269775391,0.09709644317626953,0.028555870056152344,0.06282925605773926
0.1665358543395996,0.012778997421264648,0.10470366477966309,0.03262901306152344,0.06193709373474121
0.5539116859436035,0.011979103088378906,0.0978691577911377,0.019484281539916992,0.039620161056518555
0.4211883544921875,0.007236957550048828,0.09600520133972168,0.024762392044067383,0.0533754825592041
0.2374119758605957,0.008992195129394531,0.09007430076599121,0.018650293350219727,0.06155061721801758
0.3381326198577881,0.008968591690063477,0.08349132537841797,0.0188753604888916,0.055814266204833984
0.06768679618835449,0.00762176513671875,0.08495497703552246,0.022384166717529297,0.06322288513183594
0.06835818290710449,0.010473012924194336,0.09917140007019043,0.033158302307128906,0.06270456314086914
0.27531933784484863,0.011567115783691406,0.10235023498535156,0.01704859733581543,0.0965573787689209
0.15595364570617676,0.007978200912475586,0.08798027038574219,0.020707368850708008,0.05900382995605469
0.3585782051086426,0.012859582901000977,0.092803955078125,0.017544984817504883,0.06112337112426758
